ASV_ID	LK_1	LK_2	LK_3	LK_4	LK_5	LM_1	LM_2	LM_3	LM_4	LM_5	RK_1	RK_2	RK_3	RK_4	RK_5	RM_1	RM_2	RM_3	RM_4	RM_5
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_9	14	18	0	22	0	0	25	14	13	0	0	11	7	5	18	8	15	9	12	8
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__MSBL5;f__MSBL5;g__MSBL5	10	6	5	0	3	0	6	10	12	2	7	15	13	8	2	15	13	8	9	7
d__Bacteria;p__Nitrospirota;c__4-29-1;o__4-29-1;f__4-29-1;g__4-29-1	486	458	570	355	334	611	538	354	425	280	745	671	778	781	724	431	467	504	483	408
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Crenothrix	22	19	15	12	7	3	0	15	23	14	21	23	38	36	31	26	39	25	31	39
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__S-BQ2-57_soil_group;f__S-BQ2-57_soil_group;g__S-BQ2-57_soil_group	12	9	47	19	16	11	0	12	6	28	36	24	27	34	28	28	18	50	28	19
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Longilinea	5	0	10	5	9	5	0	1	6	0	30	11	6	22	7	23	12	19	18	13
d__Bacteria;p__Patescibacteria;c__WWE3;o__WWE3;f__WWE3;g__WWE3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	28	4	2	6	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Cyanobium_PCC-6307	273	319	300	416	584	242	90	234	156	326	10	24	6	20	36	19	13	34	17	12
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales;f__Lenti-02;g__Lenti-02	76	121	101	103	80	76	38	90	93	61	49	16	40	24	45	12	21	26	24	17
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	26	41	44	55	27	91	34	46	18	17	65	46	48	59	117	37	40	47	48	56
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ciceribacter	0	0	0	0	0	0	0	0	0	0	2	13	7	15	19	17	64	10	17	18
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__Coxiella	0	11	9	0	8	21	0	7	0	21	26	33	23	35	9	17	23	8	48	17
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Luteitalea	19	36	76	50	24	47	13	27	17	34	4	3	1	0	0	6	0	0	3	1
d__Bacteria;p__Chloroflexi;c__Gitt-GS-136;o__Gitt-GS-136;f__Gitt-GS-136;g__Gitt-GS-136	21	5	7	8	7	33	6	10	11	15	5	20	18	20	15	17	20	7	19	21
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Piscinibacter	15	0	0	26	0	17	0	16	0	0	34	25	47	25	29	12	0	29	17	24
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24	84	34	18	44	74	0	39	57	17	0	199	187	227	196	264	277	268	277	278	277
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__RBG-13-46-9;f__RBG-13-46-9;g__RBG-13-46-9	5	9	0	6	17	0	9	6	6	2	13	14	11	14	17	3	6	7	6	7
d__Bacteria;p__Spirochaetota;__;__;__;__	0	0	0	0	0	0	0	0	0	0	2	2	4	6	0	5	5	11	0	6
d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__uncultured	46	11	4	9	5	0	0	0	4	8	62	38	87	14	48	10	21	49	18	28
d__Bacteria;p__Firmicutes;c__Negativicutes;o__uncultured;f__uncultured;g__uncultured	11	15	0	0	16	23	0	4	0	0	46	30	57	12	79	45	49	61	43	32
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas	91	101	138	61	132	95	131	93	89	77	221	223	255	319	277	265	274	242	274	304
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae;g__Vicinamibacteraceae	200	184	224	194	252	128	133	150	138	58	282	286	213	292	270	296	282	266	337	303
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus	60	60	66	83	37	27	31	46	45	0	5	15	4	5	9	15	5	13	7	3
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__SB-5;g__SB-5	8	19	34	39	4	9	42	24	27	6	94	72	83	41	40	52	58	54	36	68
d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Pla4_lineage;f__Pla4_lineage;g__Pla4_lineage	73	39	95	45	48	103	35	40	75	23	107	60	115	85	83	41	55	56	39	51
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__uncultured	116	114	190	142	213	50	49	69	32	67	5	18	16	0	37	15	13	17	23	16
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	19	107	93	10	7	78	24	243	132	724	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Acidaminobacteraceae;g__Acidaminobacter	30	40	51	47	77	18	0	22	22	48	11	14	11	12	21	25	21	24	24	7
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Roseimarinus	0	0	0	0	0	0	0	0	0	1	94	44	34	26	39	6	26	41	23	29
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Williamwhitmaniaceae;g__Acetobacteroides	0	6	0	7	0	0	0	4	3	0	17	19	8	13	24	28	29	36	24	18
d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__Dojkabacteria;f__Dojkabacteria;g__Dojkabacteria	0	0	0	0	0	0	0	0	0	0	3	6	3	1	6	8	26	8	7	6
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__MSB-5E12;f__MSB-5E12;g__MSB-5E12	0	0	0	4	5	0	0	0	0	0	0	2	0	6	0	4	3	0	6	3
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119;g__C0119	9	8	11	0	15	27	23	5	8	10	2	9	1	5	5	4	8	4	9	0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Jorgensenbacteria;f__Candidatus_Jorgensenbacteria;g__Candidatus_Jorgensenbacteria	7	5	0	0	4	4	3	10	6	0	21	7	7	14	19	1	4	7	4	2
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15;g__PeM15	52	71	62	64	63	39	40	6	33	30	6	17	0	0	2	9	10	6	11	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__uncultured	49	37	37	55	72	46	74	31	58	53	7	17	14	42	52	16	32	27	32	27
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Elsterales;f__uncultured;g__uncultured	14	9	8	7	4	48	17	9	6	0	7	8	0	7	0	7	0	5	0	8
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__oc32	160	265	198	268	162	218	55	131	143	94	51	42	33	17	41	33	20	32	16	31
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Tenderiales;f__Tenderiaceae;g__Candidatus_Tenderia	0	7	0	0	3	0	0	0	7	0	2	0	14	6	15	0	3	0	0	0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__67-14	86	85	236	87	121	68	106	105	73	51	3	26	15	27	65	9	25	28	34	6
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium	60	38	21	54	85	31	11	21	39	21	0	7	7	5	7	4	7	5	5	0
d__Bacteria;p__Armatimonadota;c__uncultured;o__uncultured;f__uncultured;g__uncultured	41	16	17	23	14	108	28	29	25	14	77	56	56	68	64	60	53	67	66	70
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__AKIW659;f__AKIW659;g__AKIW659	7	3	0	0	11	27	0	12	5	11	18	17	13	22	14	18	34	8	17	40
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;__;__	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	28	3	6	2
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;__	138	192	264	211	218	136	89	112	133	127	23	38	14	86	84	49	81	56	70	28
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;__	0	0	0	0	0	0	0	0	0	0	12	44	37	35	26	276	120	141	107	165
d__Bacteria;p__SAR324_clade(Marine_group_B);c__SAR324_clade(Marine_group_B);o__SAR324_clade(Marine_group_B);f__SAR324_clade(Marine_group_B);g__SAR324_clade(Marine_group_B)	6	3	0	13	9	7	0	7	25	0	3	13	6	2	0	7	0	1	8	4
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxydans	98	65	88	92	81	148	211	117	100	73	365	175	352	205	270	32	74	177	95	68
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__FW22;f__FW22;g__FW22	7	9	2	0	7	0	0	0	8	0	0	9	5	9	11	1	0	0	4	0
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Woesebacteria;f__Candidatus_Woesebacteria;g__Candidatus_Woesebacteria	9	0	1	2	6	8	2	12	5	0	34	15	21	36	24	15	28	54	48	28
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	0	0	0	0	0	7	11	0	0	10	16	7	2	16	20	10	26	16	15
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__uncultured	40	34	42	19	35	83	24	35	33	20	22	63	34	31	40	11	30	7	12	42
d__Bacteria;p__Acidobacteriota;c__Subgroup_22;o__Subgroup_22;f__Subgroup_22;g__Subgroup_22	183	188	182	225	154	132	165	118	201	102	138	210	153	129	170	130	82	105	85	148
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium	31	18	29	9	34	37	24	18	43	17	89	86	72	105	83	92	94	90	119	126
d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10	23	34	21	15	5	40	31	34	30	74	38	28	37	39	41	53	41	52	48	56
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae;g__Neochlamydia	41	62	65	40	31	130	41	31	32	0	14	58	36	21	62	16	13	31	23	16
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__Rokubacteriales;g__Rokubacteriales	68	46	114	50	53	68	58	56	57	47	138	195	173	186	152	149	285	82	147	227
d__Bacteria;p__Acidobacteriota;c__Subgroup_11;o__Subgroup_11;f__Subgroup_11;g__Subgroup_11	30	22	31	13	14	31	0	10	16	20	23	24	23	24	30	25	8	8	23	27
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Lautropia	29	40	29	36	35	52	15	4	8	7	17	13	6	8	8	28	5	11	13	8
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__uncultured	16	18	28	22	11	68	26	12	11	42	305	153	258	36	180	56	59	174	91	60
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sulfuricellaceae;g__Sulfuricella	7	6	0	0	1	6	16	4	8	12	16	11	14	23	12	8	86	9	20	17
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;__	84	31	44	22	75	109	59	46	93	82	7	40	21	41	53	41	46	31	35	25
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae;g__uncultured	8	5	12	9	8	14	6	9	21	10	50	19	47	51	44	36	11	71	53	28
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__ADurb.Bin180;f__ADurb.Bin180;g__ADurb.Bin180	8	0	21	5	6	15	9	12	2	5	4	9	12	16	4	9	17	7	16	1
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__JG30-KF-AS9;g__JG30-KF-AS9	0	0	0	0	0	20	4	8	0	8	29	38	5	41	22	12	45	16	29	18
d__Bacteria;p__TA06;c__TA06;o__TA06;f__TA06;g__TA06	137	69	120	89	95	87	55	64	70	37	176	157	164	139	163	251	224	249	221	223
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__uncultured	36	11	29	10	0	16	0	13	25	0	15	26	29	8	14	7	3	11	8	20
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea	251	113	210	196	70	403	131	99	160	122	244	198	222	304	219	175	189	119	193	261
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter	109	218	118	263	162	85	98	96	97	80	61	54	54	24	52	47	36	74	50	32
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	68	87	44	36	63	18	23	69	28	40	30	17	19	9	17	10	7	36	14	3
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacterales;g__BBMC-4	23	2	27	0	0	29	6	0	0	0	20	6	54	12	23	4	11	22	0	10
d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__LF045;g__LF045	0	2	0	0	4	0	0	0	0	4	9	13	11	20	6	9	26	28	8	10
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Parcubacteria;f__Parcubacteria;g__Parcubacteria	1	8	0	9	4	0	0	0	12	0	8	4	5	6	4	3	0	5	9	9
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__	52	89	77	73	100	47	31	24	23	44	0	12	0	6	9	4	10	5	3	7
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter	0	0	7	0	0	16	0	0	5	0	0	0	4	0	0	0	4	6	6	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__C39	5	0	11	0	0	0	0	0	0	0	5	0	0	0	0	1	0	4	5	4
d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Pacebacteria;f__Candidatus_Pacebacteria;g__Candidatus_Pacebacteria	0	0	0	0	0	0	0	0	0	0	2	4	7	9	2	29	8	36	11	8
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae;g__Thiobacillus	464	415	490	253	354	390	731	448	389	306	986	941	1013	1344	736	990	1722	868	1158	1171
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__TG3;g__TG3	0	0	25	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;__	121	125	38	103	106	9	44	49	85	60	219	316	266	252	225	89	146	147	163	133
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides	9	21	34	28	35	52	30	13	44	0	0	7	4	5	16	7	8	0	4	4
d__Bacteria;p__WS2;c__WS2;o__WS2;f__WS2;g__WS2	25	23	21	6	36	12	23	15	10	14	66	41	36	50	60	99	92	62	91	79
d__Bacteria;p__Verrucomicrobiota;c__Omnitrophia;o__Omnitrophales;f__Omnitrophaceae;g__Candidatus_Omnitrophus	18	16	29	32	15	53	11	38	31	15	34	30	31	15	22	15	3	26	20	11
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__AKYG587	0	1	0	6	0	0	2	0	0	0	4	0	0	0	0	6	0	3	0	2
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;__;__	13	5	11	0	0	31	17	15	7	0	11	1	23	13	16	10	21	5	10	23
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;__	0	0	16	0	0	0	0	0	11	0	23	19	15	0	24	0	0	4	0	8
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae;g__uncultured	43	47	55	31	98	40	27	49	35	48	76	62	93	19	50	157	86	130	130	95
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;__;__	0	0	57	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter	20	11	13	30	8	0	10	7	7	0	6	13	5	20	21	18	7	15	11	15
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	8	6	7	0	7	16	14	4	5	0	13	12	11	18	21	17	10	0	15	15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__MM2	14	12	16	0	17	0	0	9	0	22	74	101	87	188	109	228	224	147	225	134
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter	0	0	0	0	0	0	0	0	0	0	0	6	4	8	23	16	14	0	32	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__WCHB1-32	2	21	12	16	6	9	0	0	7	17	39	46	38	23	44	65	81	63	59	76
d__Bacteria;p__Nitrospinota;c__P9X2b3D02;o__P9X2b3D02;f__P9X2b3D02;g__P9X2b3D02	249	236	224	176	189	185	283	172	185	109	241	247	200	247	199	336	295	332	316	346
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea	399	100	218	372	282	886	1860	2749	4167	692	0	0	0	75	0	4	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Frankiales;g__Frankiales	16	33	68	10	15	0	9	9	0	23	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__uncultured	11	9	7	5	2	0	6	5	9	0	11	7	5	0	5	5	6	6	7	7
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_8	17	11	24	0	13	23	26	0	23	0	11	20	15	18	18	7	5	0	25	16
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella	58	32	20	30	45	0	44	24	35	10	23	33	45	95	49	56	42	30	61	27
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1	45	40	44	60	63	83	53	66	29	53	74	67	88	49	99	33	57	55	45	52
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Candidatus_Electronema	6	15	0	12	5	0	0	4	7	0	0	4	0	0	0	0	3	0	1	0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured	73	78	8	84	32	76	21	44	35	11	12	16	13	4	34	10	8	0	21	15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylogaea	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	2	0	8	3
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas	160	264	144	285	364	162	62	156	158	95	63	86	61	55	70	102	76	65	74	62
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__MAT-CR-H6-H10;g__MAT-CR-H6-H10	4	0	7	13	1	11	4	7	6	10	5	6	4	5	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group;g__WD2101_soil_group	0	0	0	3	0	0	5	0	0	0	0	5	3	0	0	0	39	2	0	24
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__uncultured	253	235	134	170	222	243	307	227	136	135	330	318	266	253	279	270	307	370	272	231
d__Bacteria;p__Planctomycetota;c__Pla3_lineage;o__Pla3_lineage;f__Pla3_lineage;g__Pla3_lineage	50	25	15	17	4	81	10	26	52	24	119	66	122	177	103	60	118	90	121	141
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella	30	15	0	16	16	0	8	0	39	0	21	30	10	4	6	13	16	23	17	31
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	7	16	0	10	0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriae;f__Acidobacteriae;g__Paludibaculum	70	66	90	109	136	13	12	38	29	54	109	107	76	70	73	175	91	41	105	149
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys	8	0	0	0	0	0	0	20	0	15	8	5	10	12	13	10	6	7	8	7
d__Bacteria;p__Acidobacteriota;c__Subgroup_25;o__Subgroup_25;f__Subgroup_25;g__Subgroup_25	58	68	36	34	60	67	82	32	25	49	17	28	13	23	40	28	34	23	31	16
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Rubritepida	7	3	5	0	6	0	0	5	0	0	0	2	0	0	0	0	0	0	3	0
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;__	26	13	51	25	0	26	17	20	0	13	15	9	0	14	10	14	4	17	7	7
d__Bacteria;p__Bdellovibrionota;__;__;__;__	0	7	0	18	0	24	0	1	0	0	2	0	0	0	0	1	2	0	0	0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geotalea	86	82	125	66	64	83	132	84	121	97	126	139	99	106	113	92	74	90	103	81
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas	87	35	88	86	69	43	51	16	32	39	270	261	320	174	197	140	99	155	131	133
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Prosthecomicrobium	31	0	0	0	13	20	0	0	0	0	0	0	0	3	3	7	0	0	2	0
d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira	130	123	95	120	130	225	188	127	96	148	183	162	208	165	202	67	111	79	106	91
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;__;__	0	0	0	6	0	0	9	0	0	5	25	23	19	8	14	7	15	9	3	9
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter	9	0	0	11	0	0	0	0	9	0	11	0	15	58	27	0	56	40	3	0
d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;__	5	0	0	0	14	0	6	0	0	0	16	17	30	17	8	3	15	16	8	8
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;__;__;__	19	39	6	19	29	18	32	41	45	10	26	23	16	20	19	17	11	20	17	22
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	34	113	35	144	514	970	1062	141	227	1363	1	8	0	13	0	2	2	0	1	0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;__;__;__	3	5	8	9	2	12	0	12	0	22	23	19	23	19	18	15	12	20	13	5
d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Kerfeldbacteria;f__Candidatus_Kerfeldbacteria;g__Candidatus_Kerfeldbacteria	2	3	0	2	0	0	0	0	3	11	9	9	10	22	11	3	2	6	7	10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13	89	191	48	184	179	88	63	57	112	54	53	66	56	45	37	65	65	99	71	55
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Rubribacterium	7	8	0	0	4	0	0	8	0	4	2	0	0	0	0	0	1	0	0	0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;__	25	15	0	7	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota;__;__;__;__	15	8	50	17	10	10	9	15	14	14	21	14	17	16	10	25	8	20	10	28
d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__BSV40;g__BSV40	0	0	0	0	0	0	0	2	0	0	8	0	0	1	0	3	10	0	8	3
d__Bacteria;p__Hydrogenedentes;c__Hydrogenedentia;o__Hydrogenedentiales;f__Hydrogenedensaceae;g__Hydrogenedensaceae	0	0	17	0	1	23	9	2	3	0	16	18	9	14	5	39	19	28	13	26
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium	193	550	29	186	103	713	423	202	220	568	0	2	1	8	0	2	4	0	0	3
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum	0	5	9	0	10	10	0	9	24	0	0	0	0	3	10	5	12	0	7	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylocaldum	30	17	24	19	15	15	23	0	15	0	8	2	7	17	0	5	6	0	8	9
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Romboutsia	0	0	38	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	8
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Chryseolinea	37	29	0	25	31	16	0	15	0	10	21	20	24	6	7	14	15	11	16	38
d__Bacteria;p__Chloroflexi;c__SHA-26;o__SHA-26;f__SHA-26;g__SHA-26	23	40	30	31	27	82	35	28	31	20	8	14	24	21	25	7	29	27	38	25
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;__	6	14	22	24	21	0	15	0	14	10	0	5	0	9	0	0	0	0	0	0
